,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
628,edible, bell,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
629,edible, bell,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
630,edible,flat,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
631,edible, bell,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
632,edible,convex,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,p,white,1,pendant,black,several,woods
633,edible,convex,scaly,brown,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
634,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
635,edible, bell,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
636,edible,flat,scaly,yellow,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
637,edible,convex,scaly,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
638,edible,convex,smooth,brown,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,black,scattered,grasses
639,edible,convex,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
640,edible, bell,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
641,edible,convex,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
642,edible,flat,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
643,edible,flat,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
644,edible,flat,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
645,edible,convex,smooth,yellow,True,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
646,edible, bell,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
647,edible, bell,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
648,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
649,edible,flat,fibrous,white,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
650,edible,convex,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
651,edible, bell,smooth,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
652,edible,flat,scaly,yellow,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
653,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
654,poisonous,convex,scaly,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
655,edible,convex,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
656,edible,flat,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
657,edible, bell,smooth,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
658,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
659,edible,flat,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
660,edible, bell,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
661,edible,convex,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
662,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
663,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
664,edible, bell,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
665,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
666,edible,flat,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
667,edible,convex,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
668,edible,flat,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
669,edible,convex,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
670,edible,convex,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
671,edible,flat,fibrous,brown,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
672,edible,flat,fibrous,brown,False,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,black,abundant,grasses
673,edible,convex,fibrous,yellow,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
674,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
675,edible,flat,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
676,edible,flat,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
677,edible,convex,scaly,brown,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
678,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
679,edible, bell,smooth,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
680,edible,convex,smooth,white,True,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
681,edible,convex,scaly,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
682,edible,convex,fibrous,yellow,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
683,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
684,edible,convex,fibrous,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,p,white,1,pendant,brown,several,woods
685,edible,convex,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
686,edible,flat,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
687,edible, bell,scaly,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
688,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
689,edible,convex,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
690,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
691,edible, bell,scaly,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
692,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
693,edible,flat,smooth,gray,False,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
694,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
695,edible, bell,scaly,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
696,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
697,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,grasses
698,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
699,edible,flat,smooth,brown,False,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
700,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
701,edible,flat,fibrous,gray,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,brown,abundant,grasses
702,edible,convex,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
703,edible, bell,scaly,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
704,edible,flat,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
705,edible,flat,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
706,edible, bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
707,edible,sunken,fibrous,brown,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
708,edible,convex,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
709,edible, bell,scaly,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
710,edible,flat,scaly,yellow,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
711,edible,flat,smooth,brown,False,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,p,white,1,evanescent,brown,abundant,grasses
712,edible,convex,smooth,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
713,edible, bell,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
714,edible, bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
715,edible, bell,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
716,edible, bell,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
717,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
718,edible,convex,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
719,edible,sunken,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
720,edible,flat,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
721,edible,convex,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
722,edible,flat,smooth,yellow,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
723,edible,convex,smooth,brown,False,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
724,edible,flat,scaly,yellow,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
725,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
726,edible,convex,smooth,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
727,edible,convex,fibrous,white,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
728,edible, bell,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
729,edible,convex,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
730,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
731,edible,convex,fibrous,brown,False,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
732,poisonous,convex,smooth,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
733,poisonous,convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,urban
734,edible,convex,scaly,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
735,edible, bell,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
736,edible,convex,fibrous,white,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
737,poisonous,convex,scaly,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,urban
738,edible,convex,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
739,edible,convex,fibrous,gray,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
740,edible,convex,fibrous,brown,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
741,edible, bell,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
742,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
743,edible, bell,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
744,edible,flat,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
745,edible,convex,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
746,edible, bell,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
747,edible, bell,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
748,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
749,edible,flat,smooth,yellow,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
750,edible,convex,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
751,edible, bell,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
752,edible,flat,smooth,white,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
753,edible, bell,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
754,edible, bell,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
755,edible, bell,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
756,edible,flat,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
757,edible,convex,smooth,white,False,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,p,white,1,evanescent,brown,abundant,grasses
758,edible, bell,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
759,edible,convex,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
760,edible, bell,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
761,edible,flat,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
762,edible,convex,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
763,edible,convex,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
764,edible,convex,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
765,edible,flat,fibrous,gray,False,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,black,abundant,grasses
766,edible,convex,smooth,white,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
767,edible,flat,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
768,edible, bell,scaly,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
769,edible, bell,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
770,edible,convex,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
771,edible, bell,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
772,edible,convex,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
773,edible,convex,smooth,yellow,True,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
774,edible,flat,fibrous,gray,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,black,abundant,grasses
775,edible,convex,scaly,yellow,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
776,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
777,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
778,edible,convex,smooth,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
779,edible, bell,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
780,edible,convex,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
781,edible,sunken,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
782,edible, bell,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
783,edible,convex,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
784,edible,convex,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
785,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,grasses
786,edible,convex,fibrous,brown,False,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
787,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
788,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
789,edible,convex,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
790,edible, bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
791,edible,flat,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
792,edible,convex,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
793,edible,convex,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
794,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
795,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
796,edible, bell,scaly,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
797,edible,convex,smooth,white,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,black,scattered,grasses
798,poisonous,convex,smooth,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
799,edible,convex,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
800,edible, bell,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
801,edible,convex,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
802,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
803,edible, bell,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
804,edible, bell,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
805,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
806,edible, bell,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
807,edible,convex,scaly,yellow,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
808,edible, bell,smooth,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
809,edible,convex,smooth,yellow,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
810,edible, bell,smooth,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
811,edible, bell,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
812,poisonous,convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
813,poisonous,convex,scaly,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
814,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
815,edible,convex,smooth,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
816,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
817,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
818,edible,convex,smooth,white,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
819,edible, bell,scaly,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
820,edible, bell,smooth,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
821,edible,convex,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
822,edible, bell,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
823,edible,convex,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
824,edible,convex,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
