BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,FLUSHING-SOUTH,10 COOPS - ELEVATOR APARTMENTS,2,6698,40,,D4,"150-10 71ST AVENUE, 2F",,11367,0,0,0,0,0,1952,2,D4,"$   200,000",02/06/2019
4,FLUSHING-SOUTH,10 COOPS - ELEVATOR APARTMENTS,2,6698,40,,D4,"150-11 72ND ROAD, 2L",,11367,0,0,0,0,0,1952,2,D4,"$   225,000",02/06/2019
4,FLUSHING-SOUTH,12 CONDOS - WALKUP APARTMENTS,2,6548,1313,,R2,"69-77B PARK DRIVE EAST, B",B,11367,1,0,1,"484,555",753,1950,2,R2,"$   525,000",02/06/2019
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2,2162,122,,D4,"61-20 GRAND CENTRAL PARKWAY, B1411",,11375,0,0,0,0,0,1965,2,D4,"$   325,000",02/06/2019
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2,2167,1,,D4,"63-09 108TH STREET, 4T",,11375,0,0,0,0,0,1956,2,D4,"$   278,000",02/06/2019
4,FOREST HILLS,10 COOPS - ELEVATOR APARTMENTS,2,2251,27,,D4,"113-14 72 ROAD, 1C",,11375,0,0,0,0,0,1941,2,D4,"$   420,000",02/06/2019
4,FOREST HILLS,13 CONDOS - ELEVATOR APARTMENTS,2,2224,1170,,R4,"108-20 71ST AVENUE, 11D",11D,11375,1,0,1,"17,563",833,2013,2,R4,"$   810,000",02/06/2019
4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,2,8489,1,,D4,"27110 GRAND CENTRAL PARKWAY, 24S",,11005,0,0,0,0,0,1972,2,D4,"$   470,000",02/06/2019
4,HOLLIS,01 ONE FAMILY DWELLINGS,1,10366,31,,A5,102-42 188TH STREET,,11423,1,0,1,"2,000",1320,1940,1,A5,"$   508,605",02/06/2019
4,HOLLIS,01 ONE FAMILY DWELLINGS,1,10457,73,,A1,88-59 192ND STREET,,11423,1,0,1,"7,500",4215,1930,1,A1,"$   1,175,000",02/06/2019
4,HOLLIS,01 ONE FAMILY DWELLINGS,1,10907,44,,A1,109-27 204TH STREET,,11412,1,0,1,"3,000",1610,1925,1,A1,"$   499,371",02/06/2019
4,HOLLIS HILLS,01 ONE FAMILY DWELLINGS,1,7807,27,,A1,82-17 215TH STREET,,11427,1,0,1,"4,000",1520,1950,1,A1,$   - 0,02/06/2019
4,HOWARD BEACH,01 ONE FAMILY DWELLINGS,1,14234,284,,A2,102-10A 160TH AVENUE,,11414,1,0,1,"1,050",500,1925,1,A2,"$   71,550",02/06/2019
4,HOWARD BEACH,05 TAX CLASS 1 VACANT LAND,1B,14234,271,,V0,N/A 160TH AVENUE,,11414,0,0,0,150,0,0,1,V0,"$   71,550",02/06/2019
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,1,974,24,,A1,21-44 79TH STREET,,11370,1,0,1,"5,514",1786,1950,1,A1,$   - 0,02/06/2019
4,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,1,1382,43,,A2,30-61 84TH STREET,,11370,1,0,1,"2,000",770,1940,1,A2,"$   615,000",02/06/2019
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2,1268,33,,D4,"81-15 35TH AVENUE, 4B",,11372,0,0,0,0,0,1937,2,D4,"$   310,000",02/06/2019
4,JACKSON HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2,1453,34,,D4,"92-11 35TH AVENUE, 2N",,11372,0,0,0,0,0,1940,2,D4,"$   310,000",02/06/2019
4,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,1,9940,100,,A1,8502 MIDLAND PARKWAY,,11432,1,0,1,"10,225",2900,1940,1,A1,"$   1,235,000",02/06/2019
4,KEW GARDENS,01 ONE FAMILY DWELLINGS,1,3318,16,,A3,115-18 MAYFAIR ROAD,,11418,1,0,1,"6,600",4108,1899,1,A3,"$   1,200,000",02/06/2019
4,KEW GARDENS,10 COOPS - ELEVATOR APARTMENTS,2,9249,40,,D4,"84-70 129TH STREET, 5V",,11415,0,0,0,0,0,1969,2,D4,"$   278,850",02/06/2019
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,12860,74,,A2,121-60 234TH STREET,,11422,1,0,1,"3,840",1063,1950,1,A2,"$   457,920",02/06/2019
4,LAURELTON,01 ONE FAMILY DWELLINGS,1,13017,50,,A1,217-02 136TH AVENUE,,11413,1,0,1,"3,750",1615,1925,1,A1,$   - 0,02/06/2019
4,LONG ISLAND CITY,27 FACTORIES,4,406,28,,F9,25-20 40TH AVENUE,,11101,0,1,1,"2,521",5000,1990,4,F9,"$   1,250,000",02/06/2019
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,2926,38,,B1,61-68 70TH STREET,,11379,2,0,2,"2,300",2070,1960,1,B1,"$   1,175,000",02/06/2019
4,OAKLAND GARDENS,10 COOPS - ELEVATOR APARTMENTS,2,7748,500,,D4,"75-08 BELL BLVD., 5L",,11364,0,0,0,0,0,1965,2,D4,"$   250,000",02/06/2019
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,9023,25,,B9,87-01 95TH AVENUE,,11416,2,0,2,"2,500",2000,1901,1,B9,"$   840,000",02/06/2019
4,OZONE PARK,02 TWO FAMILY DWELLINGS,1,11373,70,,B2,90-15 DESARC ROAD,,11417,2,0,2,"3,000",2075,1920,1,B2,"$   750,000",02/06/2019
4,OZONE PARK,03 THREE FAMILY DWELLINGS,1,9125,55,,C0,106-23 75TH STREET,,11417,3,0,3,"4,000",3426,1960,1,C0,$   - 0,02/06/2019
4,REGO PARK,02 TWO FAMILY DWELLINGS,1,3107,139,,B3,88-17 62ND DRIVE,,11374,2,0,2,"1,996",1340,1931,1,B3,"$   820,000",02/06/2019
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS,1,3372,21,,B1,2126 BLEECKER STREET,,11385,2,0,2,"3,011",2204,1910,1,B1,"$   815,000",02/06/2019
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS,2A,3394,50,,C2,18-75 TROUTMAN STREET,,11385,6,0,6,"2,232",4720,1930,2,C2,"$   1,330,000",02/06/2019
4,ROSEDALE,01 ONE FAMILY DWELLINGS,1,13454,20,,A2,146-15 220TH STREET,,11413,1,0,1,"4,000",2208,1950,1,A2,"$   505,000",02/06/2019
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11782,29,,B2,133-23 123RD STREET,,11420,2,0,2,"4,000",2340,1955,1,B2,$   - 0,02/06/2019
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11794,17,,B3,134-16 134TH AVENUE,,11420,2,0,2,"4,050",2690,1950,1,B3,"$   930,000",02/06/2019
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,1,12522,91,,A2,174-10 126TH AVENUE,,11434,1,0,1,"2,958",874,1960,1,A2,$   - 0,02/06/2019
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,1,12591,215,,A1,140-37 173RD STREET,,11434,1,0,1,"2,548",832,1925,1,A1,$   - 0,02/06/2019
4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,1,13321,3,,A2,180-08 145TH AVENUE,,11434,1,0,1,"4,000",2295,1930,1,A2,$   - 0,02/06/2019
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10273,89,,A5,110-21 174TH STREET,,11433,1,0,1,"2,000",800,1945,1,A5,"$   443,000",02/06/2019
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10964,131,,A5,111-39 205TH STREET,,11412,1,0,1,"1,800",1080,1940,1,A5,"$   302,000",02/06/2019
4,ST. ALBANS,01 ONE FAMILY DWELLINGS,1,10980,14,,A5,112-35 204TH STREET,,11412,1,0,1,"1,791",1152,1935,1,A5,"$   55,000",02/06/2019
4,SUNNYSIDE,10 COOPS - ELEVATOR APARTMENTS,2,177,1,,D4,"43-10 48TH AVENUE, 6T",,11377,0,0,0,0,0,1931,2,D4,"$   459,600",02/06/2019
4,WHITESTONE,01 ONE FAMILY DWELLINGS,1,4474,28,,A2,147-43 7 AVENUE,,11357,1,0,1,"4,040",1200,1950,1,A2,"$   1,117,500",02/06/2019
4,WHITESTONE,09 COOPS - WALKUP APARTMENTS,2,4756,1,,C6,"16-41 160TH STREET, 6-419",,11357,0,0,0,0,0,1951,2,C6,"$   240,000",02/06/2019
4,WOODHAVEN,02 TWO FAMILY DWELLINGS,1,8978,9,,B3,8420 91ST AVENUE,,11421,2,0,2,"1,800",1488,1920,1,B3,"$   394,000",02/06/2019
4,WOODSIDE,09 COOPS - WALKUP APARTMENTS,2,1235,70,,C6,"52-14 39TH AVENUE, 1C",,11377,0,0,0,0,0,1951,2,C6,"$   285,000",02/06/2019
4,WOODSIDE,10 COOPS - ELEVATOR APARTMENTS,2,1111,1,,D4,"55-03 31ST AVENUE, 1J",,11377,0,0,0,0,0,1935,2,D4,"$   550,000",02/06/2019
5,BULLS HEAD,02 TWO FAMILY DWELLINGS,1,1655,52,,B9,196 REGIS DRIVE,,10314,2,0,2,"3,330",1912,1974,1,B9,"$   565,000",02/06/2019
5,BULLS HEAD,04 TAX CLASS 1 CONDOS,1A,1548,1042,,R3,"17 JENNIFER LANE, 20B",20B,10314,1,0,1,"120,093",1421,1989,1,R3,$   - 0,02/06/2019
5,CASTLETON CORNERS,02 TWO FAMILY DWELLINGS,1,318,29,,B2,782 CURTIS AVENUE,,10310,2,0,2,"5,000",1028,1920,1,B2,$   - 0,02/06/2019
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS,1,5708,14,,A2,68 RENSSELAER AVENUE,,10312,1,0,1,"4,000",1248,1970,1,A2,$   - 0,02/06/2019
5,EMERSON HILL,01 ONE FAMILY DWELLINGS,1,837,351,,A2,31 WITTEMAN PLACE,,10301,1,0,1,"7,000",1440,1960,1,A2,"$   800,000",02/06/2019
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5320,17,,A5,82 WINCHESTER AVENUE,,10312,1,0,1,"2,380",1440,1975,1,A5,$   - 0,02/06/2019
5,GREAT KILLS,01 ONE FAMILY DWELLINGS,1,5447,162,,A5,37 PEMBERTON AVENUE,,10308,1,0,1,"1,450",1825,1990,1,A5,$   - 0,02/06/2019
5,GREAT KILLS,04 TAX CLASS 1 CONDOS,1A,5439,1057,,R3,30A KATAN LOOP,,10308,1,0,1,"183,676",1047,1988,1,R3,"$   276,058",02/06/2019
5,MARINERS HARBOR,01 ONE FAMILY DWELLINGS,1,1200,80,,A2,312 VAN NAME AVENUE,,10303,1,0,1,"5,000",1196,1955,1,A2,"$   273,600",02/06/2019
5,MIDLAND BEACH,02 TWO FAMILY DWELLINGS,1,3803,8,,B9,238 GRIMSBY STREET,,10306,2,0,2,"2,160",1300,2003,1,B9,"$   725,000",02/06/2019
5,PORT RICHMOND,02 TWO FAMILY DWELLINGS,1,1116,143,,B2,32 BAYONNE COURT,,10302,2,0,2,"6,703",1550,2018,1,B2,"$   560,038",02/06/2019
5,TODT HILL,01 ONE FAMILY DWELLINGS,1,898,70,,A2,1073 TODT HILL ROAD,,10304,1,0,1,"13,206",2069,1950,1,A2,"$   1,100,000",02/06/2019
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS,1,7888,19,,A3,264 BRIGHTON STREET,,10307,1,0,1,"7,985",4774,2015,1,A3,$   - 0,02/06/2019
5,TOTTENVILLE,02 TWO FAMILY DWELLINGS,1,7887,94,,B2,255 BRIGHTON STREET,,10307,2,0,2,"5,000",3528,1905,1,B2,$   - 0,02/06/2019
5,WILLOWBROOK,01 ONE FAMILY DWELLINGS,1,783,76,,A1,202 SHERADEN AVENUE,,10314,1,0,1,"4,300",2010,1970,1,A1,$   - 0,02/06/2019
5,WILLOWBROOK,02 TWO FAMILY DWELLINGS,1,790,134,,B2,733 WOOLLEY AVENUE,,10314,2,0,2,"4,080",2180,1970,1,B2,$   - 0,02/06/2019
1,CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS,2,173,1204,,R4,"73 WORTH STREET, 2C",2C,10013,1,0,1,0,2176,0,2,R4,"$   3,675,000",02/07/2019
1,CLINTON,07 RENTALS - WALKUP APARTMENTS,2B,1061,11,,C7,449 WEST 51ST STREET,,10019,7,1,8,"2,008",5628,1901,2,C7,$   - 0,02/07/2019
1,EAST VILLAGE,13 CONDOS - ELEVATOR APARTMENTS,2,443,1105,,R4,"62 EAST 1ST STREET, 3N",3N,10003,1,0,1,0,873,2007,2,R4,"$   1,200,000",02/07/2019
1,FLATIRON,10 COOPS - ELEVATOR APARTMENTS,2,816,31,,D4,"10 WEST 15TH STREET, 224",,10011,0,0,0,0,0,1964,2,D4,"$   515,000",02/07/2019
1,FLATIRON,10 COOPS - ELEVATOR APARTMENTS,2,823,65,,D0,"40 WEST 22ND STREET, 7C",,10010,0,0,0,0,0,1909,2,D0,"$   1,410,000",02/07/2019
1,FLATIRON,13 CONDOS - ELEVATOR APARTMENTS,2,856,1330,,R4,"15 EAST 26TH STREET, 14C",14C,10010,1,0,1,0,1180,1912,2,R4,"$   2,020,000",02/07/2019
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS,2,877,42,,D4,"39 GRAMERCY PARK NORTH, 10F",,10010,0,0,0,0,0,1956,2,D4,"$   925,000",02/07/2019
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS,2,877,74,,D4,"4 LEXINGTON AVENUE, 4A HL",,10010,0,0,0,0,0,1931,2,D4,"$   49,062",02/07/2019
1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS,2,899,32,,D4,"242 EAST 19TH STREET, 10D",,10003,0,0,0,0,0,1929,2,D4,"$   930,000",02/07/2019
1,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,2,555,1,,D4,"70 EAST 10TH STREET, 6R",,10003,0,0,0,0,0,1960,2,D4,"$   2,005,000",02/07/2019
1,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,2,562,1,,D0,"23 EAST 10TH STREET, 709",,10003,0,0,0,0,0,1923,2,D0,$   - 0,02/07/2019
1,GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,2,566,1,,D4,"11 5TH AVENUE, 19M/N",,10003,0,0,0,0,0,1955,2,D4,"$   6,600,000",02/07/2019
1,GREENWICH VILLAGE-CENTRAL,17 CONDO COOPS,2,548,1003,,R9,"60 EAST 8TH STREET, 7M",,10003,0,0,0,0,0,1965,2,R9,"$   1,360,000",02/07/2019
1,GREENWICH VILLAGE-WEST,09 COOPS - WALKUP APARTMENTS,2,603,1,,C6,"121 MORTON STREET, 4B",,10014,0,0,0,0,0,1960,2,C6,"$   1,680,000",02/07/2019
1,GREENWICH VILLAGE-WEST,09 COOPS - WALKUP APARTMENTS,2,620,66,,C6,"244 WEST 4TH STREET, 1A",,10014,0,0,0,0,0,1920,2,C6,"$   750,000",02/07/2019
1,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS,2,588,7,,D4,"22 GROVE STREET, 1F",,10014,0,0,0,0,0,1930,2,D4,"$   525,000",02/07/2019
1,GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS,2,603,37,,D4,"111 BARROW STREET, 4F",,10014,0,0,0,0,0,1920,2,D4,"$   1,350,000",02/07/2019
1,HARLEM-CENTRAL,12 CONDOS - WALKUP APARTMENTS,2,1944,1103,,R2,"370 WEST 118TH STREET, 1C",1C,10026,1,0,1,0,972,0,2,R2,$   - 0,02/07/2019
1,HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS,2,1724,1311,,R4,"2056 FIFTH AVENUE, 4D",4-D,10035,1,0,1,0,1308,1920,2,R4,"$   1,262,500",02/07/2019
1,HARLEM-CENTRAL,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,1902,1603,,R1,"120 W 118 ST, 3",3,10026,1,0,5,"2,000",1205,1910,2,R1,"$   1,420,459",02/07/2019
1,HARLEM-CENTRAL,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,1902,1604,,R1,"120 W 118 ST, 4",4,10026,1,0,5,"2,000",1141,1910,2,R1,"$   1,609,554",02/07/2019
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2,1655,33,,C7,234 EAST 106 STREET,,10029,15,2,17,"2,523",11412,1920,2,C7,$   - 0,02/07/2019
1,KIPS BAY,13 CONDOS - ELEVATOR APARTMENTS,2,936,4020,,R4,"330 EAST 33RD STREET, 2-F",2-F,10016,1,0,1,0,475,1962,2,R4,"$   520,000",02/07/2019
1,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,1343,48,,S1,306 EAST 51ST STREET,,10022,1,1,2,"1,858",4140,1899,1,S1,"$   4,800,000",02/07/2019
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,2,1321,11,,D4,"225 EAST 47TH STREET, 5J",,10017,0,0,0,0,0,1939,2,D4,$   - 0,02/07/2019
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,2,1321,11,,D4,"225 EAST 47TH STREET, 5H",,10017,0,0,0,0,0,1939,2,D4,$   - 0,02/07/2019
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,2,1338,5,,D4,"310 EAST 46TH STREET, 3G",,10017,0,0,0,0,0,1929,2,D4,"$   875,000",02/07/2019
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,2,1338,12,,D4,"321 EAST 45TH STREET, 4F",,10017,0,0,0,0,0,1960,2,D4,"$   348,500",02/07/2019
1,MIDTOWN WEST,10 COOPS - ELEVATOR APARTMENTS,2,1270,20,,D4,"17 WEST 54TH STREET, VESTI",,10019,0,0,0,0,0,1935,2,D4,"$   24,544",02/07/2019
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS,2,1011,1706,,R4,"160 CENTRAL PARK SOUTH, 3007",3007,10019,1,0,1,436,829,1930,2,R4,"$   2,250,000",02/07/2019
1,MURRAY HILL,08 RENTALS - ELEVATOR APARTMENTS,2,860,15,,D7,118 MADISON AVENUE,,10016,12,1,13,"2,351",32917,1920,2,D7,"$   38,000,000",02/07/2019
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS,2,892,25,,D4,"137 EAST 36TH STREET, 7K",,10016,0,0,0,0,0,1966,2,D4,$   - 0,02/07/2019
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS,2,910,14,,D4,"229 EAST 29TH STREET, 5L",,10016,0,0,0,0,0,1940,2,D4,"$   354,000",02/07/2019
1,SOHO,08 RENTALS - ELEVATOR APARTMENTS,2,580,11,,D9,"70 CHARLTON STREET, 3E",,10014,122,2,124,"15,104",224400,2014,2,D9,"$   1,989,588",02/07/2019
1,SOHO,09 COOPS - WALKUP APARTMENTS,2,517,9,,C6,"149 SULLIVAN STREET, 2C",,10012,0,0,0,0,0,1900,2,C6,"$   637,500",02/07/2019
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,142,1915,,R4,"111 MURRAY STREET, 41W",41W,10007,1,0,1,0,2279,2016,2,R4,"$   9,164,250",02/07/2019
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,212,1406,,R4,"11 BEACH STREET, 3A",3A,10013,1,0,1,"11,213",3844,1900,2,R4,"$   6,761,138",02/07/2019
1,TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,2,217,1234,,R4,"250 WEST STREET, 4G",4G,10013,1,0,1,"26,566",1973,1906,2,R4,"$   4,050,000",02/07/2019
1,TRIBECA,15 CONDOS - 2-10 UNIT RESIDENTIAL,2C,179,1506,,R1,"15 LEONARD STREET, PH",PH,10013,1,0,1,"5,733",4574,1940,2,R1,"$   10,750,000",02/07/2019
1,UPPER EAST SIDE (59-79),09 COOPS - WALKUP APARTMENTS,2,1489,8,,C6,"509 EAST 77TH STREET, 6L",,10075,0,0,0,0,0,1900,2,C6,"$   412,000",02/07/2019
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1384,1,,D4,"880 FIFTH AVENUE, 2G",,10021,0,0,0,0,0,1948,2,D4,"$   2,575,000",02/07/2019
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1397,4,,D4,"565 PARK AVENUE, 6W",,10065,0,0,0,0,0,1913,2,D4,"$   4,025,000",02/07/2019
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1405,40,,D4,"176 EAST 71ST STREET, 16F",,10021,0,0,0,0,0,1962,2,D4,"$   2,710,000",02/07/2019
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1439,1,,D4,"301 EAST 64TH STREET, 7D",,10065,0,0,0,0,0,1963,2,D4,"$   725,000",02/07/2019
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1483,28,,D4,"530 EAST 72ND STREET, 9F",,10021,0,0,0,0,0,1962,2,D4,"$   1,575,000",02/07/2019
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1415,1092,,R4,"200 EAST 61ST STREET, 20A",20A,10065,1,0,1,0,836,1986,2,R4,"$   1,050,000",02/07/2019
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1439,1132,,R4,"304 EAST 65TH STREET, 32D",32D,10065,1,0,1,0,705,1987,2,R4,"$   1,175,000",02/07/2019
1,UPPER EAST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1461,1022,,R4,"400 EAST 67TH STREET, 5J",5J,10065,1,0,1,0,1352,2006,2,R4,$   - 0,02/07/2019
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1498,69,,D4,"1056 FIFTH AVENUE, 6D",,10028,0,0,0,0,0,1951,2,D4,"$   1,375,000",02/07/2019
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1508,31,,D4,"179 EAST 79TH STREET, 11C",,10075,0,0,0,0,0,1928,2,D4,"$   875,000",02/07/2019
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1535,3,,D4,"200 EAST 90TH STREET, 12G",,10128,0,0,0,0,0,1980,2,D4,$   - 0,02/07/2019
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1515,1758,,R4,"170 EAST 87TH STREET, W14F",W14F,10128,1,0,1,0,707,0,2,R4,"$   750,000",02/07/2019
1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1117,29,,D4,"41 CENTRAL PARK WEST, 10C",,10023,0,0,0,0,0,1910,2,D4,"$   4,000,000",02/07/2019
1,UPPER WEST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS,2,1118,22,,D4,"10 WEST 66TH STREET, 28E",,10023,0,0,0,0,0,1969,2,D4,"$   2,275,000",02/07/2019
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1170,1199,,R4,"2211 BROADWAY, 5H",5H,10024,1,0,1,0,2582,1908,2,R4,"$   5,115,000",02/07/2019
1,UPPER WEST SIDE (59-79),17 CONDO COOPS,2,1158,1007,,R9,"142 WEST END AVENUE, 22N",,10023,0,0,0,0,0,1963,2,R9,"$   1,285,000",02/07/2019
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1195,10,,D4,"35 WEST 81ST STREET, 10F",,10024,0,0,0,0,0,1914,2,D4,"$   305,000",02/07/2019
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1195,10,,D4,"35 WEST 81ST STREET, 7F",,10024,0,0,0,0,0,1914,2,D4,"$   305,000",02/07/2019
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1232,61,,D4,"514 WEST END AVENUE, 7B",,10024,0,0,0,0,0,1923,2,D4,"$   1,650,000",02/07/2019
1,UPPER WEST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1241,52,,D4,"250 WEST 94TH STREET, 2F",,10025,0,0,0,0,0,1925,2,D4,"$   997,000",02/07/2019
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1226,1284,,R4,"175 WEST 95TH STREET, 23H",23H,10025,1,0,1,"30,212",504,1971,2,R4,"$   830,000",02/07/2019
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1237,1015,,R4,"251 WEST 89TH STREET, 3B",3B,10024,1,0,1,0,1568,1920,2,R4,"$   1,795,000",02/07/2019
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1253,1325,,R4,"230 RIVERSIDE DRIVE, 2N",2N,10025,1,0,1,0,678,1931,2,R4,"$   810,000",02/07/2019
1,WASHINGTON HEIGHTS LOWER,07 RENTALS - WALKUP APARTMENTS,2,2115,34,,C7,"500 WEST 157TH ST, 3W",,10032,13,2,15,"2,500",11391,1910,2,C7,"$   34,058",02/07/2019
1,WASHINGTON HEIGHTS LOWER,13 CONDOS - ELEVATOR APARTMENTS,2,2111,1121,,R4,"446 WEST 167 STREET, 5D",5D,10032,1,0,1,"6,598",445,2014,2,R4,"$   256,551",02/07/2019
1,WASHINGTON HEIGHTS UPPER,10 COOPS - ELEVATOR APARTMENTS,2,2180,192,,D4,"120 BENNETT AVENUE, 4G",,10033,0,0,0,0,0,1939,2,D4,"$   143,500",02/07/2019
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036,140,,B1,2063 WASHINGTON AVENUE,,10457,2,0,2,"3,346",2308,1997,1,B1,"$   640,000",02/07/2019
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4760,30,,B1,3106 SEYMOUR AVENUE,,10469,2,0,2,"2,800",1696,1950,1,B1,$   - 0,02/07/2019
2,BAYCHESTER,02 TWO FAMILY DWELLINGS,1,4967,32,,B3,4005 SECOR AVENUE,,10466,2,0,2,"2,480",1409,1930,1,B3,"$   685,336",02/07/2019
2,BAYCHESTER,22 STORE BUILDINGS,4,4736,1,,K1,3420 BOSTON ROAD,,10469,0,6,6,"10,550",10000,1935,4,K1,"$   1,700,000",02/07/2019
2,BRONXDALE,01 ONE FAMILY DWELLINGS,1,4557,29,,A5,2944 LURTING AVENUE,,10469,1,0,1,"1,800",1782,1950,1,A5,"$   496,460",02/07/2019
2,BRONXDALE,01 ONE FAMILY DWELLINGS,1,4596,20,,S1,3244 WHITE PLAINS ROAD,,10467,1,1,2,"2,000",4080,1940,1,S1,$   - 0,02/07/2019
2,BRONXDALE,02 TWO FAMILY DWELLINGS,1,4586,8,,B1,1281 ARNOW AVENUE,,10469,2,0,2,"2,200",1886,1950,1,B1,"$   407,509",02/07/2019
2,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS,1,3509,47,,A5,431 HOWE AVE,,10473,1,0,1,"2,643",1594,1959,1,A5,"$   141,088",02/07/2019
2,COUNTRY CLUB,01 ONE FAMILY DWELLINGS,1,5319,58,,A5,1147 ELLSWORTH AVENUE,,10465,1,0,1,"1,590",1496,1950,1,A5,"$   529,000",02/07/2019
